attention_global_logit_bias,attention_global_mass,checkpoint,family,global_local_ratio,global_mass,global_read_gate,global_scale,intervention,perplexity,public_avg,reason_exact,route_entropy,teacher_acc,validation_loss
,,checkpoint_step_00045000,hidden,0.014928647646455996,0.0,0.8245776295661926,1.0,default,12.429672117681546,,0.0,1.9442281539623554,0.29166666666666663,2.5200865268707275
,,checkpoint_step_00045000,hidden,0.022647238345225473,0.0,0.8245776295661926,1.5,default,26.959432052713474,,0.0,1.8242893715699513,0.33072916666666663,3.2943332195281982
-0.8537008762359619,0.0,checkpoint_step_00015000,attention,,0.0,,0.0,default,29.056541010534822,,0.5,1.6003318016345685,0.8294270833333333,3.369243621826172
-2.2446634769439697,0.08052361011505127,checkpoint_step_00015000,attention,,0.08052361011505127,,0.25,default,27.17365024237954,,0.625,1.5902922061773448,0.9270833333333333,3.3022477626800537
-1.5515162944793701,0.10318857431411743,checkpoint_step_00015000,attention,,0.10318857431411743,,0.5,default,27.01195832309277,,0.625,1.592738646727342,0.9270833333333333,3.2962796688079834
-0.856229305267334,0.13205192983150482,checkpoint_step_00015000,attention,,0.13205192983150482,,1.0,default,26.963970341068364,,0.5,1.6022390585679274,0.9583333333333333,3.294501543045044
-0.4507642090320587,0.14945609867572784,checkpoint_step_00015000,attention,,0.14945609867572784,,1.5,default,27.010380531757704,,0.625,1.609725805429312,0.9544270833333333,3.2962212562561035
0.2903686761856079,0.0,checkpoint_step_00030000,attention,,0.0,,0.0,default,48.87131767738992,,0.0,1.6242941277367728,0.2903645833333333,3.889190673828125
-1.1097524166107178,0.18370512127876282,checkpoint_step_00030000,attention,,0.18370512127876282,,0.25,default,21.1040142688364,,0.875,1.7063592672348022,0.9583333333333333,3.0494632720947266
-0.40994521975517273,0.24705971777439117,checkpoint_step_00030000,attention,,0.24705971777439117,,0.5,default,19.96334645480171,,0.75,1.7011765149923472,0.9270833333333333,2.9938979148864746
0.27634668350219727,0.31651708483695984,checkpoint_step_00030000,attention,,0.31651708483695984,,1.0,default,19.57475139088195,,0.625,1.71298244366279,0.9270833333333333,2.97424054145813
0.6818118095397949,0.34990194439888,checkpoint_step_00030000,attention,,0.34990194439888,,1.5,default,19.677098976722043,,0.5,1.7264556793066173,0.9192708333333333,2.9794554710388184
0.7331205606460571,0.0,checkpoint_step_00045000,attention,,0.0,,0.0,default,7893.695900900331,,0.0,1.745121194766118,0.0,8.973819732666016
-0.7731881737709045,0.27957451343536377,checkpoint_step_00045000,attention,,0.27957451343536377,,0.25,default,20.117220412715746,,0.5,1.7783857073102678,0.8815104166666667,3.0015761852264404
-0.18713749945163727,0.3179433345794678,checkpoint_step_00045000,attention,,0.3179433345794678,,0.5,default,16.08853917937,,0.5,1.8062469225663405,0.8932291666666667,2.778107166290283
0.4776105582714081,0.397034615278244,checkpoint_step_00045000,attention,,0.397034615278244,,1.0,default,14.827868362112298,,0.5,1.8033523651269765,0.9114583333333333,2.6965084075927734
0.8830757141113281,0.42987748980522156,checkpoint_step_00045000,attention,,0.42987748980522156,,1.5,default,15.213729061374652,,0.5,1.7937401074629564,0.8958333333333333,2.722198247909546
0.807153046131134,0.0,checkpoint_step_00060000,attention,,0.0,,0.0,default,39565.673923886694,,0.0,1.5026751733074586,0.0,10.58571720123291
-0.7546621561050415,0.24654491245746613,checkpoint_step_00060000,attention,,0.24654491245746613,,0.25,default,126.46744127307538,,0.0,1.5127705491792698,0.14322916666666666,4.839984893798828
-0.063322052359581,0.32042860984802246,checkpoint_step_00060000,attention,,0.32042860984802246,,0.5,default,13.955484741965233,,0.0,1.4142394038633659,0.24869791666666666,2.6358726024627686
0.630217432975769,0.4034753143787384,checkpoint_step_00060000,attention,,0.4034753143787384,,1.0,default,7.555593002419236,,0.25,1.385366828979126,0.3619791666666667,2.0222880840301514
1.0455728769302368,0.454937219619751,checkpoint_step_00060000,attention,,0.454937219619751,,1.5,default,9.739488608197943,,0.0,1.3898800160469753,0.30338541666666663,2.276188611984253
